Angle Intensity Error
20.120 427.000 1.000
20.140 406.000 1.000
20.160 414.000 1.000
20.180 429.000 1.000
20.200 405.000 1.000
20.220 402.000 1.000
20.240 407.000 1.000
20.260 421.000 1.000
20.280 404.000 1.000
20.300 415.000 1.000
20.320 410.000 1.000
20.340 419.000 1.000
20.360 431.000 1.000
20.380 436.000 1.000
20.400 403.000 1.000
20.420 415.000 1.000
20.440 413.000 1.000
20.460 389.000 1.000
20.480 400.000 1.000
20.500 386.000 1.000
20.520 369.000 1.000
20.540 399.000 1.000
20.560 402.000 1.000
20.580 411.000 1.000
20.600 430.000 1.000
20.620 421.000 1.000
20.640 423.000 1.000
20.660 415.000 1.000
20.680 427.000 1.000
20.700 429.000 1.000
20.720 407.000 1.000
20.740 407.000 1.000
20.760 407.000 1.000
20.780 407.000 1.000
20.800 423.000 1.000
20.820 425.000 1.000
20.840 433.000 1.000
20.860 424.000 1.000
20.880 421.000 1.000
20.900 400.000 1.000
20.920 379.000 1.000
20.940 373.000 1.000
20.960 400.000 1.000
20.980 418.000 1.000
21.000 427.000 1.000
21.020 426.000 1.000
21.040 407.000 1.000
21.060 422.000 1.000
21.080 402.000 1.000
21.100 432.000 1.000
21.120 421.000 1.000
21.140 406.000 1.000
21.160 396.000 1.000
21.180 428.000 1.000
21.200 416.000 1.000
21.220 408.000 1.000
21.240 426.000 1.000
21.260 441.000 1.000
21.280 466.000 1.000
21.300 424.000 1.000
21.320 391.000 1.000
21.340 412.000 1.000
21.360 402.000 1.000
21.380 423.000 1.000
21.400 421.000 1.000
21.420 454.000 1.000
21.440 466.000 1.000
21.460 455.000 1.000
21.480 445.000 1.000
21.500 405.000 1.000
21.520 411.000 1.000
21.540 451.000 1.000
21.560 436.000 1.000
21.580 459.000 1.000
21.600 443.000 1.000
21.620 435.000 1.000
21.640 420.000 1.000
21.660 435.000 1.000
21.680 447.000 1.000
21.700 459.000 1.000
21.720 469.000 1.000
21.740 450.000 1.000
21.760 447.000 1.000
21.780 424.000 1.000
21.800 452.000 1.000
21.820 477.000 1.000
21.840 438.000 1.000
21.860 439.000 1.000
